Player,Team,League,Age,Passport country,Minutes played,Grade,BenhamScore,xA/90,Key Pass/90,xG/90,Prog Pass/90,Assists/90
I. Hryhoruk,České Budějovice U19,Czech U19,18.0,Czech Republic,524,TOP TARGET,99.58,0.29,1.2,0.14,9.27,0.86
S. Pavlik,České Budějovice U17,Czech U17,16.0,Czech Republic,1587,TOP TARGET,99.57,0.3,0.74,0.55,6.98,0.17
S. Mladen,Dukla Praha U17,Czech U17,16.0,Czech Republic,994,TOP TARGET,99.16,0.33,0.81,0.22,6.97,0.18
F. Rada,Viktoria Plzeň U17,Czech U17,16.0,Czech Republic,719,TOP TARGET,98.58,0.16,0.63,0.23,7.89,0.25
O. Frolík,Slavia Praha U19,Czech U19,17.0,Czech Republic,1356,TOP TARGET,97.79,0.36,0.73,0.11,6.7,0.53
Š. Sedlák,FC Vysočina Jihlava U17,Czech U17,16.0,Czech Republic,907,TOP TARGET,97.22,0.16,0.79,0.13,7.94,0.2
P. Lubor,Slovan Liberec U19,Czech U17,17.0,Czech Republic,1010,TOP TARGET,96.62,0.1,0.89,0.17,8.82,0.27
P. Filippov,Podbrezová,Czech U19,18.0,Czech Republic,776,TOP TARGET,95.6,0.24,0.7,0.12,6.84,0.12
Š. Sedlák,Vysočina Jihlava U19,Czech U19,16.0,Czech Republic,615,TOP TARGET,93.34,0.17,0.59,0.2,5.41,0.15
A. Gajdoš,Slovan Bratislava,Slovakia,22.0,Slovakia,1417,TOP TARGET,92.77,0.17,0.38,0.2,6.8,0.13
